"sceneID","sensor","acquisitionDate","upperLeftCornerLatitude","upperLeftCornerLongitude","upperRightCornerLatitude","upperRightCornerLongitude","lowerLeftCornerLatitude","lowerLeftCornerLongitude","lowerRightCornerLatitude","lowerRightCornerLongitude","sceneCenterLatitude","sceneCenterLongitude","satelliteNumber","DATUM","ELEVATION_SOURCE","ELLIPSOID","EPHEMERIS_TYPE","FALSE_EASTING","FALSE_NORTHING","GRID_CELL_SIZE_REFLECTIVE","MAP_PROJECTION_L1","MAP_PROJECTION_L0RA","ORIENTATION"
"LT50410372003346PAC02","LANDSAT_TM",2003,34.1182,-119.5,33.8313,-117.528,32.5348,-119.918,32.2529,-117.98,33.1883,"-118.731","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362003346PAC02","LANDSAT_TM",2003,35.55,-119.112,35.2582,-117.107,33.9676,-119.54,33.6811,-117.571,34.6184,"-118.332","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003339PAC02","LANDSAT_TM",2003,34.1124,-117.964,33.8255,-115.993,32.5291,-118.383,32.2471,-116.445,33.1825,"-117.196","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003337ASA01","LANDSAT_TM",2003,-40.8004,146.776,-41.1148,148.934,-42.3695,146.231,-42.6916,148.44,-41.7495,"147.595","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003337ASA01","LANDSAT_TM",2003,-39.3748,147.253,-39.6829,149.367,-40.9458,146.727,-41.261,148.89,-40.3213,"148.059","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410372003330PAC02","LANDSAT_TM",2003,34.1197,-119.52,33.8328,-117.548,32.5364,-119.939,32.2544,-118,33.1898,"-118.752","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362003330PAC02","LANDSAT_TM",2003,35.5595,-119.13,35.2677,-117.124,33.9771,-119.558,33.6906,-117.589,34.6279,"-118.35","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003323PAC02","LANDSAT_TM",2003,34.118,-117.967,33.8311,-115.995,32.5346,-118.385,32.2527,-116.447,33.1881,"-117.199","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900892003321ASA03","LANDSAT_TM",2003,-40.8072,146.774,-41.1217,148.933,-42.3764,146.23,-42.6985,148.439,-41.7564,"147.594","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50900882003321ASA03","LANDSAT_TM",2003,-39.3738,147.254,-39.6818,149.369,-40.9448,146.728,-41.26,148.891,-40.3203,"148.06","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410362003314PAC02","LANDSAT_TM",2003,35.5464,-119.09,35.2546,-117.085,33.9639,-119.519,33.6775,-117.55,34.6148,"-118.311","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50410372003314EDC01","LANDSAT_TM",2003,34.1155,-119.478,33.8286,-117.506,32.5322,-119.897,32.2503,-117.959,33.1857,"-118.71","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
"LT50400372003307PAC02","LANDSAT_TM",2003,34.1088,-117.916,33.8219,-115.944,32.5255,-118.334,32.2436,-116.396,33.179,"-117.148","LANDSAT_5","WGS84","GLS2000","WGS84","DEFINITIVE","","","30","UTM",NA,"NORTH_UP"
